                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1065,                 2.2247,                 1.4348,                0.75987,                0.26366,                0.27741,                0.17673,                 1.0703,                 3.5299,                 1.4422,             0.00024921,             0.00024921,             0.00024921
                      2,                 1.1243,                  1.582,                 1.3872,                0.64761,                0.17571,                0.14385,                0.08291,                 1.3521,                 7.8586,                 1.9217,             0.00049554,             0.00049554,             0.00049554
                      3,                 1.2205,                 1.5679,                 1.4831,                0.57738,                0.16272,                0.13333,                0.06494,                  1.507,                 6.2324,                 2.1047,             0.00073171,             0.00073171,             0.00073171
                      4,                 1.2534,                 1.5648,                 1.5013,                0.25315,                0.16174,                 0.1074,                0.05483,                  1.444,                 7.4289,                 2.1884,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.3078,                 1.5647,                 1.5384,                 0.2933,                 0.2508,                0.16902,                0.08188,                 1.5439,                 4.0452,                 1.9972,             0.00072332,             0.00072332,             0.00072332
                      6,                 1.3063,                  1.549,                 1.5172,                0.51243,                0.27619,                0.20078,                0.09896,                  1.538,                 2.6561,                 1.9862,              0.0007081,              0.0007081,              0.0007081
                      7,                  1.256,                 1.5185,                  1.483,                0.49852,                0.22009,                0.19552,                0.09722,                 1.4612,                 2.3605,                 1.9457,             0.00069287,             0.00069287,             0.00069287
                      8,                 1.2008,                 1.4457,                 1.4572,                0.66939,                0.22998,                0.26434,                0.14079,                 1.3378,                  1.951,                 1.7145,             0.00067764,             0.00067764,             0.00067764
                      9,                  1.161,                 1.3831,                 1.4119,                0.55351,                0.25398,                0.25864,                0.15669,                 1.3282,                 2.0432,                 1.6936,             0.00066242,             0.00066242,             0.00066242
                     10,                 1.1357,                 1.2797,                 1.4166,                 0.5726,                0.28127,                0.27754,                0.16231,                 1.2876,                 1.8523,                 1.6257,             0.00064719,             0.00064719,             0.00064719
                     11,                   1.09,                 1.2628,                 1.3687,                0.66154,                0.35756,                0.36494,                0.23063,                 1.1774,                 1.5555,                 1.6046,             0.00063196,             0.00063196,             0.00063196
                     12,                 1.1043,                 1.2256,                 1.3585,                0.69295,                0.29225,                0.34888,                0.22146,                 1.1358,                 1.5797,                  1.475,             0.00061674,             0.00061674,             0.00061674
                     13,                 1.0635,                 1.2124,                  1.363,                0.67394,                0.27833,                0.31412,                 0.2023,                 1.0434,                 1.4666,                 1.4351,             0.00060151,             0.00060151,             0.00060151
                     14,                 1.0916,                 1.2721,                 1.3763,                0.68145,                0.32729,                0.35955,                0.22606,                 1.0528,                 1.4031,                 1.4122,             0.00058629,             0.00058629,             0.00058629
                     15,                 1.0419,                 1.1611,                 1.3339,                0.69004,                0.33466,                0.40568,                 0.2781,                 1.0494,                 1.4126,                 1.4093,             0.00057106,             0.00057106,             0.00057106
